date,home_team,away_team,team,scorer,minute,own_goal,penalty
2022-06-05,Czech Republic,Spain,Spain,Gavi,45,FALSE,FALSE
2022-06-05,Czech Republic,Spain,Czech Republic,Jan Kuchta,66,FALSE,FALSE
2022-06-05,Czech Republic,Spain,Spain,Iñigo Martínez,90,FALSE,FALSE
2022-06-05,Gibraltar,North Macedonia,North Macedonia,Enis Bardhi,21,FALSE,FALSE
2022-06-05,Gibraltar,North Macedonia,North Macedonia,Boban Nikolov,84,FALSE,FALSE
2022-06-05,Kosovo,Greece,Greece,Tasos Bakasetas,36,FALSE,FALSE
2022-06-05,Portugal,Switzerland,Portugal,William Carvalho,15,FALSE,FALSE
2022-06-05,Portugal,Switzerland,Portugal,Cristiano Ronaldo,35,FALSE,FALSE
2022-06-05,Portugal,Switzerland,Portugal,Cristiano Ronaldo,39,FALSE,FALSE
2022-06-05,Portugal,Switzerland,Portugal,João Cancelo,68,FALSE,FALSE
2022-06-05,San Marino,Malta,Malta,Jan Busuttil,59,FALSE,FALSE
2022-06-05,San Marino,Malta,Malta,Matthew Guillaumier,75,FALSE,FALSE
2022-06-05,Serbia,Slovenia,Serbia,Aleksandar Mitrović,24,FALSE,FALSE
2022-06-05,Serbia,Slovenia,Slovenia,Petar Stojanović,30,FALSE,FALSE
2022-06-05,Serbia,Slovenia,Serbia,Sergej Milinković-Savić,56,FALSE,FALSE
2022-06-05,Serbia,Slovenia,Serbia,Luka Jović,85,FALSE,FALSE
2022-06-05,Serbia,Slovenia,Serbia,Nemanja Radonjić,90,FALSE,FALSE
2022-06-05,Sweden,Norway,Norway,Erling Haaland,20,FALSE,TRUE
2022-06-05,Sweden,Norway,Norway,Erling Haaland,69,FALSE,FALSE
2022-06-05,Sweden,Norway,Sweden,Anthony Elanga,90,FALSE,FALSE
2022-06-05,Wales,Ukraine,Wales,Gareth Bale,34,FALSE,FALSE
2022-06-06,Austria,Denmark,Denmark,Pierre-Emile Højbjerg,28,FALSE,FALSE
2022-06-06,Austria,Denmark,Austria,Xaver Schlager,67,FALSE,FALSE
2022-06-06,Austria,Denmark,Denmark,Jens Stryger Larsen,84,FALSE,FALSE
2022-06-06,Croatia,France,France,Adrien Rabiot,52,FALSE,FALSE
2022-06-06,Croatia,France,Croatia,Andrej Kramarić,83,FALSE,TRUE
2022-06-06,Iceland,Albania,Albania,Taulant Seferi,30,FALSE,FALSE
2022-06-06,Iceland,Albania,Iceland,Jón Dagur Þorsteinsson,49,FALSE,FALSE
2022-06-06,Latvia,Liechtenstein,Latvia,Artūrs Zjuzins,73,FALSE,FALSE
2022-06-06,Slovakia,Kazakhstan,Kazakhstan,Aslan Darabayev,26,FALSE,FALSE
2022-06-07,Bosnia and Herzegovina,Romania,Bosnia and Herzegovina,Smail Prevljak,68,FALSE,FALSE
2022-06-07,Faroe Islands,Luxembourg,Luxembourg,Gerson Rodrigues,74,FALSE,TRUE
2022-06-07,Finland,Montenegro,Finland,Joel Pohjanpalo,31,FALSE,FALSE
2022-06-07,Finland,Montenegro,Finland,Joel Pohjanpalo,38,FALSE,FALSE
2022-06-07,Germany,England,Germany,Jonas Hofmann,50,FALSE,FALSE
2022-06-07,Germany,England,England,Harry Kane,88,FALSE,TRUE
2022-06-07,Italy,Hungary,Italy,Nicolò Barella,30,FALSE,FALSE
2022-06-07,Italy,Hungary,Italy,Lorenzo Pellegrini,45,FALSE,FALSE
2022-06-07,Italy,Hungary,Hungary,Gianluca Mancini,61,TRUE,FALSE
2022-06-07,Lithuania,Turkey,Turkey,Doğukan Sinik,2,FALSE,FALSE
2022-06-07,Lithuania,Turkey,Turkey,Doğukan Sinik,14,FALSE,FALSE
2022-06-07,Lithuania,Turkey,Turkey,Serdar Dursun,56,FALSE,TRUE
2022-06-07,Lithuania,Turkey,Turkey,Serdar Dursun,81,FALSE,FALSE
2022-06-07,Lithuania,Turkey,Turkey,Yunus Akgün,89,FALSE,FALSE
2022-06-07,Lithuania,Turkey,Turkey,Halil Dervişoğlu,90,FALSE,FALSE
2022-06-07,United Arab Emirates,Australia,Australia,Jackson Irvine,53,FALSE,FALSE
2022-06-07,United Arab Emirates,Australia,United Arab Emirates,Caio Canedo,57,FALSE,FALSE
2022-06-07,United Arab Emirates,Australia,Australia,Ajdin Hrustic,84,FALSE,FALSE
2022-06-08,Belgium,Poland,Poland,Robert Lewandowski,28,FALSE,FALSE
2022-06-08,Belgium,Poland,Belgium,Axel Witsel,42,FALSE,FALSE
2022-06-08,Belgium,Poland,Belgium,Kevin De Bruyne,59,FALSE,FALSE
2022-06-08,Belgium,Poland,Belgium,Leandro Trossard,73,FALSE,FALSE
2022-06-08,Belgium,Poland,Belgium,Leandro Trossard,80,FALSE,FALSE
